O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,Career
6.01,7.78,5.23,9.34,6.45,4.92,4.05,1.18,5.34,4.87,Logopeda
6.21,7.98,5.43,9.54,6.65,5.06,4.19,1.2,5.5,5.01,Logopeda
7.78,7.34,5.23,9.12,6.01,5.27,4.94,1.13,6.09,5.71,Logopeda
7.02,8.79,6.24,8.2,7.46,5.62,4.76,1.28,6.15,5.15,Logopeda
7.22,8.99,6.34,7.98,7.66,5.76,4.88,1.3,6.31,5.21,Logopeda
8.79,8.35,6.24,10.13,7.02,5.98,5.64,1.23,6.9,6.42,Logopeda
7.78,7.34,5.23,9.12,6.01,7.56,7.18,5.62,6.9,8.23,Terapeuta mowy
7.58,7.14,5.03,8.92,5.81,7.36,6.98,5.42,6.7,8.03,Terapeuta mowy
7.78,7.34,5.23,9.12,6.01,5.27,4.94,1.13,6.09,5.71,Terapeuta mowy
7.58,7.14,5.03,8.92,5.81,5.13,4.8,1.11,5.93,5.57,Terapeuta mowy
8.79,8.35,6.24,10.13,7.02,5.98,5.64,1.23,6.9,6.42,Terapeuta mowy
8.59,8.15,6.04,8.2,6.82,5.84,5.5,1.21,6.74,5.94,Terapeuta mowy
6.78,7.67,8.45,8.23,6.45,7.23,8.34,7.45,6.62,7.95,Trener sportowy
6.98,7.87,8.65,8.43,6.65,7.43,8.54,7.65,6.82,8.15,Trener sportowy
6.78,7.67,8.45,8.23,6.45,5.1,5.08,1.13,5.69,5.04,Trener sportowy
6.98,7.87,8.65,8.43,6.65,5.24,5.22,1.15,5.85,5.18,Trener sportowy
7.79,8.68,9.46,9.24,7.46,5.81,5.79,1.23,6.5,5.74,Trener sportowy
7.99,8.88,9.66,9.44,7.66,5.95,5.93,1.25,6.66,5.88,Trener sportowy
8.12,8.67,4.67,5.23,4.11,8.4,4.95,4.39,6.12,6.95,Konsultant ds. zrównoważonego rozwoju
8.12,8.67,4.67,5.23,4.11,5.9,4.99,2.24,6.66,5.11,Konsultant ds. zrównoważonego rozwoju
9.13,9.68,5.68,6.24,5.12,6.61,5.7,2.34,7.47,5.81,Konsultant ds. zrównoważonego rozwoju
7.67,9.23,4.23,7.34,6.45,8.45,5.79,5.34,7.06,8.29,Księgowy ds. podatków
7.87,9.43,4.43,7.54,6.65,8.65,5.99,5.54,7.26,8.49,Księgowy ds. podatków
7.67,9.23,4.23,7.34,6.45,5.99,4.68,1.76,6.6,5.3,Księgowy ds. podatków
7.87,9.43,4.43,7.54,6.65,6.13,4.82,1.78,6.76,5.44,Księgowy ds. podatków
8.68,7.6,5.24,8.35,7.46,5.64,5.39,0.8,6.62,6.01,Księgowy ds. podatków
8.88,7.65,5.44,8.55,7.66,5.72,5.53,0.76,6.74,6.15,Księgowy ds. podatków
6.78,8.45,3.45,6.45,5.45,7.62,4.95,4.45,6.12,7.45,Poborca podatkowy
6.98,8.65,3.65,6.65,5.65,7.82,5.15,4.65,6.32,7.65,Poborca podatkowy
6.67,8.93,3.45,5.6,2.43,7.8,4.53,2.94,4.55,7.27,Poborca podatkowy
6.78,8.45,3.45,6.45,5.45,5.41,4.08,1.75,5.93,4.68,Poborca podatkowy
6.98,8.65,3.65,6.65,5.65,5.55,4.22,1.77,6.09,4.82,Poborca podatkowy
6.67,8.93,3.45,5.6,2.43,5.57,4.03,2.84,6.01,4.46,Poborca podatkowy
7.79,9.46,4.46,7.46,6.46,6.12,4.79,1.85,6.73,5.39,Poborca podatkowy
7.99,9.66,4.66,7.66,6.66,6.26,4.93,1.87,6.89,5.53,Poborca podatkowy
7.68,9.65,4.46,6.61,3.44,6.16,4.73,2.83,6.74,5.16,Poborca podatkowy
6.45,7.56,5.67,9.12,4.23,7.01,7.4,4.95,5.34,8.34,Nauczyciel
6.45,7.56,5.67,9.12,4.23,4.96,4.36,1.76,5.49,5.05,Nauczyciel
7.46,8.57,6.68,10.13,5.24,5.67,5.07,1.86,6.3,5.76,Nauczyciel
6.98,8.65,7.54,5.65,6.21,7.82,6.6,6.88,6.6,7.15,Menedżer projektów technicznych
6.98,8.65,7.54,5.65,6.21,5.55,5.0,1.6,6.09,4.62,Menedżer projektów technicznych
7.99,9.66,8.55,6.66,7.22,6.26,5.71,1.7,6.89,5.33,Menedżer projektów technicznych
7.67,8.78,5.45,7.45,6.01,8.23,6.45,5.73,6.84,8.12,Autor tekstów technicznych
7.87,8.98,5.65,7.65,6.21,8.43,6.65,5.93,7.04,8.32,Autor tekstów technicznych
7.67,8.78,5.45,7.45,6.01,5.81,4.93,1.71,6.47,5.33,Autor tekstów technicznych
7.87,8.98,5.65,7.65,6.21,5.95,5.07,1.73,6.63,5.47,Autor tekstów technicznych
8.68,9.79,6.46,8.46,7.02,6.52,5.63,1.81,7.28,6.03,Autor tekstów technicznych
8.88,8.7,6.66,8.66,7.22,6.14,5.77,1.31,7.05,6.17,Autor tekstów technicznych
7.34,6.98,3.67,5.23,4.67,7.16,4.45,4.17,6.01,6.11,Planista transportu
7.34,6.98,3.67,5.23,4.67,4.99,4.4,1.39,5.76,4.72,Planista transportu
8.35,7.99,4.68,6.24,5.68,5.7,5.11,1.49,6.57,5.42,Planista transportu
9.23,8.23,5.67,4.23,6.45,8.73,4.95,6.06,7.84,6.23,Projektant UI/UX
9.23,8.23,5.67,4.23,6.45,6.06,5.75,1.36,7.08,5.46,Projektant UI/UX
8.34,9.24,6.68,5.24,7.46,6.2,5.51,1.46,6.94,5.22,Projektant UI/UX
6.78,7.34,3.67,5.23,4.67,7.06,4.45,4.17,5.73,6.29,Urbanista
7.34,6.98,3.67,5.23,4.67,7.16,4.45,4.17,6.01,6.11,Urbanista
7.14,6.78,3.47,5.03,4.47,6.96,4.25,3.97,5.81,5.91,Urbanista
6.78,7.34,3.67,5.23,4.67,4.97,4.12,1.54,5.59,4.44,Urbanista
7.34,6.98,3.67,5.23,4.67,4.99,4.4,1.39,5.76,4.72,Urbanista
7.14,6.78,3.47,5.03,4.47,4.85,4.26,1.37,5.6,4.58,Urbanista
7.79,8.35,4.68,6.24,5.68,5.68,4.83,1.64,6.4,5.14,Urbanista
8.35,7.99,4.68,6.24,5.68,5.7,5.11,1.49,6.57,5.42,Urbanista
8.15,7.79,4.48,6.04,5.48,5.56,4.97,1.47,6.41,5.28,Urbanista
8.78,4.23,7.67,7.45,6.45,6.51,7.56,7.06,7.62,5.84,Tester gier wideo
8.98,4.43,7.87,7.65,6.65,6.71,7.76,7.26,7.82,6.04,Tester gier wideo
8.78,4.23,7.67,7.45,6.45,4.33,5.92,0.24,5.66,5.88,Tester gier wideo
8.98,4.43,7.87,7.65,6.65,4.47,6.06,0.22,5.82,6.02,Tester gier wideo
9.79,5.24,8.68,8.46,7.46,5.03,6.63,0.14,6.47,6.59,Tester gier wideo
9.4,5.44,8.88,8.66,7.66,5.0,6.48,0.12,6.33,6.43,Tester gier wideo
8.67,7.78,5.67,4.23,6.45,8.23,4.95,6.06,7.56,6.01,Deweloper stron internetowych
9.23,8.23,5.67,4.23,6.45,8.73,4.95,6.06,7.84,6.23,Deweloper stron internetowych
9.03,8.03,5.47,4.03,6.25,8.53,4.75,5.86,7.64,6.03,Deweloper stron internetowych
8.67,7.78,5.67,4.23,6.45,5.71,5.47,1.18,6.67,5.18,Deweloper stron internetowych
9.23,8.23,5.67,4.23,6.45,6.06,5.75,1.36,7.08,5.46,Deweloper stron internetowych
9.03,8.03,5.47,4.03,6.25,5.92,5.61,1.34,6.92,5.32,Deweloper stron internetowych
9.68,8.79,6.68,5.24,7.46,6.42,6.18,1.28,7.48,5.89,Deweloper stron internetowych
9.45,9.24,6.68,5.24,7.46,6.53,6.06,1.46,7.5,5.77,Deweloper stron internetowych
9.67,9.04,6.48,5.04,7.26,6.52,6.13,1.44,7.55,5.84,Deweloper stron internetowych
8.78,7.67,4.45,5.12,6.01,8.23,4.79,5.23,7.4,6.4,Biolog dzikiej przyrody
8.91,7.67,4.45,7.23,5.78,8.29,5.84,5.12,7.35,7.45,Biolog dzikiej przyrody
8.71,7.47,4.25,7.03,5.58,8.09,5.64,4.92,7.15,7.25,Biolog dzikiej przyrody
8.78,7.67,4.45,5.12,6.01,5.7,5.28,1.27,6.69,5.41,Biolog dzikiej przyrody
8.91,7.67,4.45,7.23,5.78,5.74,5.35,1.33,6.76,5.9,Biolog dzikiej przyrody
8.71,7.47,4.25,7.03,5.58,5.6,5.21,1.31,6.6,5.76,Biolog dzikiej przyrody
9.79,8.68,5.46,6.13,7.02,6.41,5.99,1.37,7.5,6.12,Biolog dzikiej przyrody
8.45,8.68,5.46,8.24,6.79,6.01,5.32,1.44,6.83,5.87,Biolog dzikiej przyrody
9.72,8.48,5.26,8.04,6.59,6.31,5.91,1.42,7.4,6.47,Biolog dzikiej przyrody
8.89,7.67,4.45,5.12,6.01,8.28,4.79,5.23,7.45,6.4,Konservator dzikiej przyrody
9.09,7.87,4.65,5.32,6.21,8.48,4.99,5.43,7.65,6.6,Konservator dzikiej przyrody
8.89,7.67,4.45,5.12,6.01,5.74,5.34,1.27,6.75,5.47,Konservator dzikiej przyrody
9.09,7.87,4.65,5.32,6.21,5.88,5.48,1.29,6.91,5.61,Konservator dzikiej przyrody
8.23,8.68,5.46,6.13,7.02,5.94,5.21,1.37,6.72,5.34,Konservator dzikiej przyrody
9.12,8.88,5.66,6.33,7.22,6.29,5.69,1.39,7.22,5.83,Konservator dzikiej przyrody
8.78,7.67,4.45,5.12,6.01,8.23,4.79,5.23,7.4,6.4,Zoolog
8.58,7.47,4.25,4.92,5.81,8.03,4.59,5.03,7.2,6.2,Zoolog
8.78,7.67,4.45,5.12,6.01,5.7,5.28,1.27,6.69,5.41,Zoolog
8.58,7.47,4.25,4.92,5.81,5.56,5.14,1.25,6.53,5.27,Zoolog
9.79,8.68,5.46,6.13,7.02,6.41,5.99,1.37,7.5,6.12,Zoolog
9.59,8.48,5.26,5.93,6.82,6.27,5.85,1.35,7.34,5.98,Zoolog
